variant,rounds,min_active,active_status,min_weight,weight_status,seconds,calls,n_vars,n_clauses
present-128,1,1,exact,2,exact,0.004,2,272,1374
present-128,2,2,exact,4,exact,0.008,3,672,3132
present-128,3,4,exact,8,exact,0.022,5,1552,5848
present-128,4,6,exact,12,exact,0.105,7,2816,9332
present-128,5,10,exact,20,exact,0.911,11,5424,15500
present-128,6,12,exact,24,exact,1.952,13,7648,20904
present-128,7,14,exact,28,exact,3.725,15,10256,27076
present-128,8,16,exact,32,exact,5.038,17,13248,34016
present-128,9,18,exact,36,exact,10.052,19,16624,41724
present-128,10,20,exact,41,exact,23.573,22,20864,51159
present-128,11,22,exact,46,exact,49.992,25,25584,61554
present-128,12,24,exact,52,exact,134.782,29,31360,74060
